canonical,jail_type,hierarchy,role,sanctioned,filled
Rasipuram,sub_jail,general,Grade II Warder,6,6
S.J. Musiri,sub_jail,general,Assistant Jailer,1,0
S.J. Musiri,sub_jail,general,Chief Head Warder,2,2
S.J. Musiri,sub_jail,general,Grade I Warder,2,2
S.J. Musiri,sub_jail,general,Grade II Warder,6,3
S.J. Paramathy,sub_jail,general,Assistant Jailer,1,0
S.J. Paramathy,sub_jail,general,Chief Head Warder,2,2
S.J. Paramathy,sub_jail,general,Grade I Warder,2,1
S.J. Paramathy,sub_jail,general,Grade II Warder,6,5
S.J. Pattukottai,sub_jail,general,Assistant Jailer,1,0
S.J. Pattukottai,sub_jail,general,Chief Head Warder,2,2
S.J. Pattukottai,sub_jail,general,Grade I Warder,2,2
S.J. Pattukottai,sub_jail,general,Grade II Warder,6,2
S.J. Portonova,sub_jail,general,Assistant Jailer,1,0
S.J. Portonova,sub_jail,general,Chief Head Warder,2,2
S.J. Portonova,sub_jail,general,Grade I Warder,2,2
S.J. Portonova,sub_jail,general,Grade II Warder,6,3
S.J. Sirkali,sub_jail,general,Assistant Jailer,1,1
S.J. Sirkali,sub_jail,general,Chief Head Warder,2,2
S.J. Sirkali,sub_jail,general,Grade I Warder,2,2
S.J. Sirkali,sub_jail,general,Grade II Warder,6,6
S.J. Tharangambadi,sub_jail,general,Assistant Jailer,1,1
S.J. Tharangambadi,sub_jail,general,Chief Head Warder,2,2
S.J. Tharangambadi,sub_jail,general,Grade I Warder,2,2
S.J. Tharangambadi,sub_jail,general,Grade II Warder,6,5
S.J. Thiruturaipoondi,sub_jail,general,Assistant Jailer,1,1
S.J. Thiruturaipoondi,sub_jail,general,Chief Head Warder,2,1
S.J. Thiruturaipoondi,sub_jail,general,Grade I Warder,2,2
S.J. Thiruturaipoondi,sub_jail,general,Grade II Warder,6,4
S.J. Tiruchendur,sub_jail,general,Assistant Jailer,1,1
S.J. Tiruchendur,sub_jail,general,Chief Head Warder,2,2
S.J. Tiruchendur,sub_jail,general,Grade I Warder,2,2
S.J. Tiruchendur,sub_jail,general,Grade II Warder,6,6
S.J. Women Dharmapuri,sub_jail,general,Assistant Jailer,1,1
S.J. Women Dharmapuri,sub_jail,general,Chief Head Warder,2,2
S.J. Women Dharmapuri,sub_jail,general,Grade I Warder,2,2
S.J. Women Dharmapuri,sub_jail,general,Grade II Warder,6,6
"SICA, Tiruchirappalli",special_sub_jail,general,Assistant Jailer,2,2
"SICA, Tiruchirappalli",special_sub_jail,general,Chief Head Warder,4,4
"SICA, Tiruchirappalli",special_sub_jail,general,Jailer,1,1
Saidapet,sub_jail,general,Assistant Jailer,1,1
Saidapet,sub_jail,general,Chief Head Warder,2,2
Saidapet,sub_jail,general,Grade I Warder,2,2
Saidapet,sub_jail,general,Grade II Warder,6,5
Salem,central_jail,general,Assistant Jailer,13,13
Salem,central_jail,general,Chief Head Warder,23,23
Salem,central_jail,general,Deputy Jailer,2,2
Salem,central_jail,general,Grade I Warder,91,91
Salem,central_jail,general,Grade II Warder,117,117
Salem,central_jail,general,Jailer,2,2
Salem (Women),special_sub_jail,general,Assistant Jailer,1,1
Salem (Women),special_sub_jail,general,Chief Head Warder,3,3
Salem (Women),special_sub_jail,general,Deputy Jailer,1,1
Salem (Women),special_sub_jail,general,Grade I Warder,7,7
Salem (Women),special_sub_jail,general,Grade II Warder,23,17
Sankagiri,sub_jail,general,Assistant Jailer,1,1
Sankagiri,sub_jail,general,Chief Head Warder,2,2
Sankagiri,sub_jail,general,Grade I Warder,2,2
Sankagiri,sub_jail,general,Grade II Warder,6,6
Sankarankoil,sub_jail,general,Assistant Jailer,1,1
Sankarankoil,sub_jail,general,Chief Head Warder,2,2
Sankarankoil,sub_jail,general,Grade I Warder,2,2
Sankarankoil,sub_jail,general,Grade II Warder,6,6
Sathiamangalam,sub_jail,general,Assistant Jailer,1,0
Sathiamangalam,sub_jail,general,Chief Head Warder,2,2
Sathiamangalam,sub_jail,general,Grade I Warder,2,2
Sathiamangalam,sub_jail,general,Grade II Warder,6,4
Sattur,sub_jail,general,Assistant Jailer,1,1
Sattur,sub_jail,general,Chief Head Warder,2,2
Sattur,sub_jail,general,Grade I Warder,2,0
