prison,type,parent,designation,sanctioned,filled,vacancy
Thirumayam,sub_jail,,Assistant Jailer,1,0,1
Thirumayam,sub_jail,,Chief Head Warder,2,2,0
Thirumayam,sub_jail,,Grade I Warder,2,2,0
Thirumayam,sub_jail,,Grade II Warder,6,6,0
Aranthangi,sub_jail,,Assistant Jailer,1,1,0
Aranthangi,sub_jail,,Chief Head Warder,2,2,0
Aranthangi,sub_jail,,Grade I Warder,2,2,0
Aranthangi,sub_jail,,Grade II Warder,6,3,3
Thanjavur,sub_jail,,Assistant Jailer,1,1,0
Thanjavur,sub_jail,,Chief Head Warder,2,2,0
Thanjavur,sub_jail,,Grade I Warder,2,2,0
Thanjavur,sub_jail,,Grade II Warder,6,4,2
Kumbakonam,sub_jail,,Assistant Jailer,1,0,1
Kumbakonam,sub_jail,,Chief Head Warder,2,2,0
Kumbakonam,sub_jail,,Grade I Warder,2,2,0
Kumbakonam,sub_jail,,Grade II Warder,6,5,1
Papanasam,sub_jail,,Assistant Jailer,1,0,1
Papanasam,sub_jail,,Chief Head Warder,2,2,0
Papanasam,sub_jail,,Grade I Warder,2,2,0
Papanasam,sub_jail,,Grade II Warder,6,6,0
Thiruvidaimaruthur,sub_jail,,Assistant Jailer,1,1,0
Thiruvidaimaruthur,sub_jail,,Chief Head Warder,2,2,0
Thiruvidaimaruthur,sub_jail,,Grade I Warder,2,2,0
Thiruvidaimaruthur,sub_jail,,Grade II Warder,6,4,2
Mannargudi,sub_jail,,Assistant Jailer,1,1,0
Mannargudi,sub_jail,,Chief Head Warder,2,2,0
Mannargudi,sub_jail,,Grade I Warder,2,2,0
Mannargudi,sub_jail,,Grade II Warder,6,5,1
Nannilam,sub_jail,,Assistant Jailer,1,1,0
Nannilam,sub_jail,,Chief Head Warder,2,2,0
Nannilam,sub_jail,,Grade I Warder,2,2,0
Nannilam,sub_jail,,Grade II Warder,6,6,0
Thiruthuraipoondi,sub_jail,,Assistant Jailer,1,0,1
Thiruthuraipoondi,sub_jail,,Chief Head Warder,2,1,1
Thiruthuraipoondi,sub_jail,,Grade I Warder,2,2,0
Thiruthuraipoondi,sub_jail,,Grade II Warder,6,4,2
Nagapattinam,district_jail,,Jailer,1,0,1
Nagapattinam,district_jail,,Deputy Jailer,1,1,0
Nagapattinam,district_jail,,Assistant Jailer,3,3,0
Nagapattinam,district_jail,,Chief Head Warder,5,4,1
Nagapattinam,district_jail,,Grade I Warder,3,3,0
Nagapattinam,district_jail,,Grade II Warder,17,9,8
Mayiladuthurai,sub_jail,,Assistant Jailer,1,1,0
Mayiladuthurai,sub_jail,,Chief Head Warder,2,2,0
Mayiladuthurai,sub_jail,,Grade I Warder,2,2,0
Mayiladuthurai,sub_jail,,Grade II Warder,6,6,0
Tharangambadi,sub_jail,,Assistant Jailer,1,0,1
